steps,total reward,episodes
10000,0.0,135
20000,70.0,287
30000,166.0,534
40000,164.0,784
50000,138.0,1004
60000,134.0,1198
70000,171.0,1438
80000,156.0,1696
90000,169.0,1939
100000,153.0,2173
