total reward,steps,episodes
21.0,10000,193
33.0,20000,409
60.0,30000,692
105.0,40000,975
81.0,50000,1233
86.0,60000,1477
63.0,70000,1715
89.0,80000,2009
95.0,90000,2291
86.0,100000,2537
