episodes,total reward,steps
91,4.0,10000
140,2.0,20000
304,97.0,30000
715,326.0,40000
1174,348.0,50000
1630,365.0,60000
2070,359.0,70000
2524,368.0,80000
2984,354.0,90000
3432,363.0,100000
