total reward,steps,episodes
13.0,10000,217
16.0,20000,443
19.0,30000,741
33.0,40000,1067
35.0,50000,1344
39.0,60000,1742
61.0,70000,2089
66.0,80000,2459
73.0,90000,2844
83.0,100000,3213
