steps,total reward,episodes
10000,0.0,128
20000,7.0,235
30000,149.0,498
40000,233.0,821
50000,226.0,1136
60000,244.0,1450
70000,244.0,1776
80000,236.0,2096
90000,228.0,2406
100000,234.0,2728
