episodes,steps,total reward
116,10000,28.0
260,20000,45.0
542,30000,155.0
839,40000,181.0
1187,50000,252.0
1521,60000,246.0
1887,70000,280.0
2243,80000,256.0
2581,90000,236.0
2928,100000,248.0
