total reward,steps,episodes
0.0,10000,239
8.0,20000,379
13.0,30000,499
15.0,40000,636
14.0,50000,753
23.0,60000,885
35.0,70000,1030
38.0,80000,1174
71.0,90000,1348
94.0,100000,1546
