episodes,total reward,steps
193,15.0,10000
418,16.0,20000
725,67.0,30000
1033,85.0,40000
1272,54.0,50000
1589,79.0,60000
1848,56.0,70000
2177,93.0,80000
2433,54.0,90000
2686,63.0,100000
