total reward,steps,episodes
8.0,10000,257
9.0,20000,485
16.0,30000,713
10.0,40000,939
19.0,50000,1151
8.0,60000,1371
13.0,70000,1574
9.0,80000,1768
12.0,90000,2033
13.0,100000,2272
