episodes,steps,total reward
214,10000,24.0
511,20000,66.0
769,30000,55.0
1015,40000,62.0
1326,50000,65.0
1612,60000,68.0
1921,70000,72.0
2174,80000,48.0
2471,90000,63.0
2745,100000,58.0
