steps,total reward,episodes
10000,12.0,192
20000,13.0,362
30000,23.0,567
40000,37.0,798
50000,49.0,1042
60000,58.0,1252
70000,73.0,1530
80000,40.0,1727
90000,79.0,1966
100000,80.0,2206
