total reward,steps,episodes
7.0,10000,256
7.0,20000,419
15.0,30000,584
9.0,40000,745
27.0,50000,923
16.0,60000,1084
32.0,70000,1261
62.0,80000,1484
67.0,90000,1720
59.0,100000,1912
