episodes,total reward,steps
190,65.0,10000
430,76.0,20000
675,89.0,30000
1011,131.0,40000
1315,115.0,50000
1640,127.0,60000
1832,78.0,70000
2085,92.0,80000
2408,120.0,90000
2751,129.0,100000
