steps,episodes,total reward
10000,3,3.0
20000,5,2.0
30000,6,1.0
40000,7,1.0
50000,8,1.0
60000,10,2.0
70000,10,0.0
80000,11,1.0
90000,13,2.0
100000,15,2.0
110000,17,2.0
120000,20,3.0
130000,25,5.0
140000,28,3.0
150000,33,5.0
160000,37,4.0
170000,41,4.0
180000,47,6.0
190000,53,6.0
200000,57,4.0
210000,62,5.0
220000,65,3.0
230000,73,8.0
240000,77,4.0
250000,83,6.0
260000,88,5.0
270000,95,7.0
280000,105,10.0
290000,110,5.0
300000,115,5.0
310000,127,12.0
320000,134,7.0
330000,143,9.0
340000,147,4.0
350000,154,7.0
360000,157,3.0
370000,168,11.0
380000,177,9.0
390000,188,11.0
400000,204,16.0
410000,216,12.0
420000,223,7.0
430000,228,5.0
440000,237,9.0
450000,248,11.0
460000,258,10.0
470000,277,19.0
480000,287,10.0
490000,297,10.0
500000,314,17.0
510000,334,20.0
520000,347,13.0
530000,367,20.0
540000,378,11.0
550000,394,16.0
560000,418,24.0
570000,437,19.0
580000,467,30.0
590000,498,31.0
600000,528,30.0
610000,565,37.0
620000,614,49.0
630000,657,43.0
640000,697,40.0
650000,737,40.0
660000,783,46.0
670000,838,55.0
680000,877,39.0
690000,930,53.0
700000,977,47.0
710000,1027,50.0
720000,1088,61.0
730000,1159,71.0
740000,1227,68.0
750000,1280,53.0
760000,1364,84.0
770000,1432,68.0
780000,1517,85.0
790000,1607,90.0
800000,1717,110.0
810000,1827,110.0
820000,1925,98.0
830000,2032,107.0
840000,2137,105.0
850000,2278,141.0
860000,2397,119.0
870000,2547,150.0
880000,2697,150.0
890000,2837,140.0
900000,2994,157.0
910000,3157,163.0
920000,3285,128.0
930000,3428,143.0
940000,3589,161.0
950000,3755,166.0
960000,3910,155.0
970000,4085,175.0
980000,4257,172.0
990000,4417,160.0
1000000,4587,170.0
1010000,4783,196.0
1020000,4950,167.0
1030000,5149,199.0
1040000,5363,214.0
1050000,5578,215.0
1060000,5798,220.0
1070000,6008,210.0
1080000,6226,218.0
1090000,6445,219.0
1100000,6658,213.0
1110000,6853,195.0
1120000,7070,217.0
1130000,7279,209.0
1140000,7478,199.0
1150000,7694,216.0
1160000,7907,213.0
1170000,8125,218.0
1180000,8346,221.0
1190000,8561,215.0
1200000,8777,216.0
1210000,8995,218.0
1220000,9215,220.0
1230000,9423,208.0
1240000,9627,204.0
1250000,9844,217.0
1260000,10056,212.0
1270000,10273,217.0
1280000,10460,187.0
1290000,10678,218.0
1300000,10892,215.0
1310000,11109,216.0
1320000,11317,208.0
1330000,11536,219.0
1340000,11737,201.0
1350000,11955,218.0
1360000,12168,213.0
1370000,12381,213.0
1380000,12597,216.0
1390000,12814,217.0
1400000,13026,212.0
1410000,13243,218.0
1420000,13463,219.0
1430000,13682,219.0
1440000,13902,220.0
1450000,14121,219.0
1460000,14338,217.0
1470000,14552,214.0
1480000,14769,217.0
1490000,14988,219.0
1500000,15207,219.0
1510000,15424,217.0
1520000,15643,219.0
1530000,15863,220.0
1540000,16082,219.0
1550000,16300,218.0
1560000,16518,218.0
1570000,16737,219.0
1580000,16946,209.0
1590000,17165,219.0
1600000,17382,217.0
1610000,17598,216.0
1620000,17815,217.0
1630000,18035,220.0
1640000,18253,218.0
1650000,18468,215.0
1660000,18687,219.0
1670000,18906,219.0
1680000,19125,219.0
1690000,19346,221.0
1700000,19564,218.0
1710000,19781,217.0
1720000,19998,217.0
1730000,20216,218.0
1740000,20436,220.0
1750000,20654,218.0
1760000,20858,204.0
1770000,21077,219.0
1780000,21294,217.0
1790000,21511,217.0
1800000,21730,219.0
1810000,21948,218.0
1820000,22167,219.0
1830000,22386,219.0
1840000,22605,219.0
1850000,22824,219.0
1860000,23043,219.0
1870000,23262,219.0
1880000,23482,220.0
1890000,23700,218.0
1900000,23918,218.0
1910000,24139,221.0
1920000,24357,218.0
1930000,24575,218.0
1940000,24794,219.0
1950000,25013,219.0
1960000,25232,219.0
1970000,25450,218.0
1980000,25665,215.0
1990000,25881,217.0
2000000,26097,215.0
