steps,episodes,total reward
10000,155,33.0
20000,296,29.0
30000,435,31.0
40000,602,44.0
50000,753,40.0
60000,937,46.0
70000,1111,62.0
80000,1347,106.0
90000,1555,90.0
100000,1772,93.0
