steps,total reward,episodes
10000,15.0,97
20000,201.0,370
30000,343.0,792
40000,338.0,1226
50000,332.0,1645
60000,348.0,2074
70000,328.0,2509
80000,336.0,2935
90000,346.0,3364
100000,347.0,3788
