total reward,episodes,steps
17.0,127,10000
69.0,353,20000
83.0,586,30000
195.0,894,40000
242.0,1240,50000
190.0,1529,60000
232.0,1871,70000
224.0,2200,80000
186.0,2514,90000
243.0,2860,100000
