total reward,episodes,steps
29.0,124,10000
88.0,330,20000
160.0,604,30000
277.0,955,40000
242.0,1306,50000
270.0,1678,60000
273.0,2047,70000
239.0,2389,80000
275.0,2747,90000
240.0,3077,100000
