episodes,steps,total reward
102,10000,17.0
379,20000,203.0
812,30000,337.0
1241,40000,344.0
1674,50000,345.0
2106,60000,354.0
2539,70000,345.0
2969,80000,350.0
3396,90000,351.0
3827,100000,342.0
