steps,episodes,total reward
10000,71,3.0
20000,131,3.0
30000,289,102.0
40000,710,336.0
50000,1145,361.0
60000,1596,364.0
70000,2050,357.0
80000,2493,368.0
90000,2948,370.0
100000,3409,367.0
