steps,total reward,episodes
10000,26.0,92
20000,59.0,189
30000,261.0,524
40000,372.0,993
50000,399.0,1475
60000,389.0,1954
70000,390.0,2435
80000,389.0,2913
90000,393.0,3390
100000,399.0,3867
