total reward,episodes,steps
2.0,2,10000
0.0,2,20000
2.0,4,30000
0.0,4,40000
1.0,5,50000
2.0,7,60000
0.0,7,70000
1.0,8,80000
2.0,10,90000
4.0,14,100000
2.0,16,110000
4.0,20,120000
3.0,23,130000
3.0,26,140000
2.0,28,150000
6.0,34,160000
2.0,36,170000
2.0,38,180000
4.0,42,190000
5.0,47,200000
3.0,50,210000
5.0,55,220000
2.0,57,230000
6.0,63,240000
3.0,66,250000
2.0,68,260000
6.0,74,270000
10.0,84,280000
4.0,88,290000
7.0,95,300000
9.0,104,310000
9.0,113,320000
5.0,118,330000
10.0,128,340000
7.0,135,350000
10.0,145,360000
11.0,156,370000
11.0,167,380000
9.0,176,390000
12.0,188,400000
9.0,197,410000
10.0,207,420000
10.0,217,430000
10.0,227,440000
11.0,238,450000
10.0,248,460000
10.0,258,470000
10.0,268,480000
19.0,287,490000
17.0,304,500000
21.0,325,510000
13.0,338,520000
20.0,358,530000
19.0,377,540000
20.0,397,550000
20.0,417,560000
28.0,445,570000
22.0,467,580000
21.0,488,590000
27.0,515,600000
42.0,557,610000
40.0,597,620000
41.0,638,630000
50.0,688,640000
35.0,723,650000
54.0,777,660000
41.0,818,670000
40.0,858,680000
59.0,917,690000
61.0,978,700000
59.0,1037,710000
40.0,1077,720000
70.0,1147,730000
60.0,1207,740000
60.0,1267,750000
70.0,1337,760000
75.0,1412,770000
75.0,1487,780000
117.0,1604,790000
90.0,1694,800000
110.0,1804,810000
133.0,1937,820000
99.0,2036,830000
131.0,2167,840000
110.0,2277,850000
138.0,2415,860000
142.0,2557,870000
130.0,2687,880000
148.0,2835,890000
121.0,2956,900000
147.0,3103,910000
164.0,3267,920000
146.0,3413,930000
146.0,3559,940000
167.0,3726,950000
154.0,3879,960000
197.0,4077,970000
180.0,4257,980000
136.0,4393,990000
170.0,4562,1000000
180.0,4742,1010000
187.0,4930,1020000
195.0,5125,1030000
207.0,5332,1040000
215.0,5547,1050000
216.0,5763,1060000
218.0,5981,1070000
217.0,6198,1080000
219.0,6417,1090000
192.0,6609,1100000
217.0,6826,1110000
215.0,7041,1120000
216.0,7257,1130000
211.0,7468,1140000
213.0,7681,1150000
216.0,7897,1160000
216.0,8113,1170000
215.0,8328,1180000
219.0,8547,1190000
218.0,8765,1200000
206.0,8971,1210000
210.0,9181,1220000
215.0,9396,1230000
212.0,9608,1240000
217.0,9825,1250000
219.0,10044,1260000
195.0,10239,1270000
218.0,10457,1280000
217.0,10674,1290000
209.0,10883,1300000
217.0,11100,1310000
218.0,11318,1320000
219.0,11537,1330000
211.0,11748,1340000
219.0,11967,1350000
217.0,12184,1360000
215.0,12399,1370000
219.0,12618,1380000
217.0,12835,1390000
219.0,13054,1400000
215.0,13269,1410000
216.0,13485,1420000
208.0,13693,1430000
216.0,13909,1440000
218.0,14127,1450000
210.0,14337,1460000
217.0,14554,1470000
216.0,14770,1480000
221.0,14991,1490000
218.0,15209,1500000
220.0,15429,1510000
219.0,15648,1520000
216.0,15864,1530000
219.0,16083,1540000
219.0,16302,1550000
219.0,16521,1560000
217.0,16738,1570000
219.0,16957,1580000
220.0,17177,1590000
220.0,17397,1600000
220.0,17617,1610000
217.0,17834,1620000
220.0,18054,1630000
220.0,18274,1640000
218.0,18492,1650000
220.0,18712,1660000
220.0,18932,1670000
217.0,19149,1680000
219.0,19368,1690000
220.0,19588,1700000
217.0,19805,1710000
219.0,20023,1720000
219.0,20243,1730000
217.0,20460,1740000
219.0,20679,1750000
219.0,20898,1760000
219.0,21117,1770000
220.0,21337,1780000
220.0,21557,1790000
220.0,21777,1800000
218.0,21995,1810000
208.0,22203,1820000
217.0,22420,1830000
218.0,22638,1840000
219.0,22857,1850000
218.0,23075,1860000
217.0,23292,1870000
218.0,23510,1880000
218.0,23728,1890000
219.0,23947,1900000
219.0,24166,1910000
219.0,24385,1920000
219.0,24604,1930000
219.0,24823,1940000
216.0,25039,1950000
220.0,25259,1960000
219.0,25478,1970000
219.0,25697,1980000
218.0,25915,1990000
213.0,26128,2000000
