episodes,total reward,steps
270,19.0,10000
471,21.0,20000
684,28.0,30000
915,25.0,40000
1149,28.0,50000
1362,21.0,60000
1585,27.0,70000
1818,38.0,80000
2047,34.0,90000
2345,37.0,100000
