episodes,steps,total reward
103,10000,10.0
211,20000,18.0
345,30000,51.0
566,40000,99.0
853,50000,164.0
1170,60000,184.0
1529,70000,212.0
1896,80000,233.0
2276,90000,253.0
2672,100000,300.0
