steps,episodes,total reward
10000,199,18.0
20000,492,55.0
30000,885,78.0
40000,1208,66.0
50000,1531,77.0
60000,1817,62.0
70000,2178,77.0
80000,2518,61.0
90000,2864,77.0
100000,3120,53.0
