steps,total reward,episodes
10000,56.0,171
20000,72.0,365
30000,76.0,582
40000,93.0,886
50000,90.0,1163
60000,141.0,1538
70000,106.0,1883
80000,96.0,2154
90000,110.0,2454
100000,102.0,2748
