steps,total reward,episodes
10000,38.0,172
20000,38.0,326
30000,51.0,538
40000,71.0,738
50000,141.0,1016
60000,112.0,1264
70000,82.0,1466
80000,102.0,1688
90000,111.0,1917
100000,110.0,2196
