total reward,episodes,steps
6.0,145,10000
14.0,299,20000
34.0,432,30000
60.0,669,40000
19.0,856,50000
117.0,1110,60000
101.0,1338,70000
32.0,1514,80000
147.0,1783,90000
125.0,2017,100000
