steps,episodes,total reward
10000,113,32.0
20000,246,78.0
30000,664,328.0
40000,1129,390.0
50000,1598,400.0
60000,2089,388.0
70000,2581,392.0
80000,3061,398.0
90000,3543,391.0
100000,4028,392.0
