steps,total reward,episodes
10000,10.0,176
20000,47.0,400
30000,66.0,652
40000,76.0,891
50000,117.0,1177
60000,85.0,1437
70000,138.0,1729
80000,119.0,1989
90000,72.0,2188
100000,32.0,2353
