episodes,steps,total reward
83,10000,-0.8300000000000005
144,20000,-0.6100000000000003
203,30000,-0.5900000000000003
249,40000,-0.46000000000000024
292,50000,-0.4300000000000002
342,60000,-0.5000000000000002
402,70000,-0.6000000000000003
457,80000,-0.5500000000000003
502,90000,-0.45000000000000023
540,100000,-0.38000000000000017
