steps,episodes,total reward
10000,191,18.0
20000,330,40.0
30000,434,46.0
40000,558,51.0
50000,702,68.0
60000,858,78.0
70000,1029,89.0
80000,1188,102.0
90000,1382,134.0
100000,1621,173.0
