episodes,total reward,steps
210,11.0,10000
483,14.0,20000
739,15.0,30000
1066,50.0,40000
1388,42.0,50000
1695,26.0,60000
2082,67.0,70000
2457,55.0,80000
2834,60.0,90000
3191,79.0,100000
