steps,total reward,episodes
10000,0.0,133
20000,0.0,222
30000,1.0,303
40000,43.0,440
50000,127.0,653
60000,188.0,909
70000,137.0,1134
80000,121.0,1325
90000,168.0,1581
100000,153.0,1801
