steps,episodes,total reward
10000,90,26.0
20000,214,63.0
30000,525,239.0
40000,998,390.0
50000,1476,377.0
60000,1956,387.0
70000,2442,393.0
80000,2923,385.0
90000,3389,378.0
100000,3867,395.0
