steps,total reward,episodes
10000,19.0,152
20000,36.0,293
30000,58.0,462
40000,98.0,656
50000,64.0,839
60000,116.0,1095
70000,220.0,1438
80000,110.0,1637
90000,161.0,1923
100000,164.0,2224
