total reward,steps,episodes
-0.9300000000000006,10000,93
-2.2299999999999964,20000,316
-3.659999999999966,30000,682
-3.6699999999999657,40000,1049
-3.5299999999999687,50000,1402
-3.699999999999965,60000,1772
-3.839999999999962,70000,2156
-3.7799999999999634,80000,2534
-3.7799999999999634,90000,2912
-3.7199999999999647,100000,3284
