steps,total reward,episodes
10000,50.0,147
20000,109.0,366
30000,185.0,662
40000,195.0,978
50000,242.0,1343
60000,252.0,1691
70000,190.0,1975
80000,246.0,2334
90000,259.0,2710
100000,209.0,3022
