steps,episodes,total reward
10000,246,4.0
20000,458,3.0
30000,679,3.0
40000,918,10.0
50000,1137,10.0
60000,1346,12.0
70000,1540,21.0
80000,1726,11.0
90000,1922,8.0
100000,2155,11.0
