total reward,steps,episodes
19.0,10000,185
36.0,20000,323
48.0,30000,457
61.0,40000,608
70.0,50000,764
83.0,60000,940
92.0,70000,1110
107.0,80000,1289
113.0,90000,1480
113.0,100000,1673
