episodes,total reward,steps
282,13.0,10000
499,13.0,20000
730,17.0,30000
925,6.0,40000
1149,13.0,50000
1380,19.0,60000
1622,21.0,70000
1870,17.0,80000
2063,15.0,90000
2264,12.0,100000
