steps,total reward,episodes
10000,2.0,168
20000,7.0,347
30000,4.0,512
40000,3.0,664
50000,4.0,816
60000,24.0,986
70000,15.0,1148
80000,24.0,1291
90000,12.0,1435
100000,21.0,1588
