total reward,episodes,steps
19.0,308,10000
26.0,515,20000
23.0,711,30000
21.0,916,40000
19.0,1138,50000
14.0,1362,60000
20.0,1578,70000
34.0,1802,80000
38.0,2043,90000
26.0,2257,100000
