total reward,episodes,steps
15.0,123,10000
18.0,252,20000
26.0,421,30000
50.0,593,40000
60.0,764,50000
91.0,989,60000
125.0,1210,70000
127.0,1444,80000
89.0,1653,90000
134.0,1892,100000
