total reward,steps,episodes
45.0,10000,170
55.0,20000,376
72.0,30000,625
118.0,40000,984
121.0,50000,1362
121.0,60000,1701
125.0,70000,2071
92.0,80000,2344
121.0,90000,2646
107.0,100000,2962
