steps,episodes,total reward
10000,174,10.0
20000,371,12.0
30000,651,35.0
40000,907,18.0
50000,1176,49.0
60000,1374,30.0
70000,1634,94.0
80000,1897,51.0
90000,2097,29.0
100000,2339,62.0
