steps,total reward,episodes
10000,5.0,123
20000,56.0,265
30000,148.0,495
40000,319.0,887
50000,351.0,1314
60000,346.0,1736
70000,335.0,2151
80000,359.0,2583
90000,321.0,2986
100000,345.0,3401
