episodes,total reward,steps
157,42.0,10000
377,76.0,20000
570,66.0,30000
859,113.0,40000
1111,88.0,50000
1411,116.0,60000
1675,97.0,70000
2014,107.0,80000
2265,92.0,90000
2514,85.0,100000
