steps,total reward,episodes
10000,17.0,167
20000,29.0,278
30000,22.0,354
40000,32.0,452
50000,36.0,549
60000,45.0,654
70000,53.0,770
80000,63.0,901
90000,65.0,1025
100000,62.0,1156
