total reward,steps,episodes
55.0,10000,182
83.0,20000,393
99.0,30000,624
121.0,40000,902
100.0,50000,1146
117.0,60000,1429
110.0,70000,1666
113.0,80000,1922
106.0,90000,2182
94.0,100000,2392
