episodes,total reward,steps
144,20.0,10000
258,27.0,20000
393,34.0,30000
519,37.0,40000
708,76.0,50000
906,59.0,60000
1091,69.0,70000
1347,132.0,80000
1599,113.0,90000
1892,161.0,100000
