episodes,total reward,steps
149,34.0,10000
333,62.0,20000
598,84.0,30000
806,66.0,40000
955,56.0,50000
1149,47.0,60000
1379,76.0,70000
1583,63.0,80000
1807,76.0,90000
2002,70.0,100000
