steps,episodes,total reward
10000,111,15.0
20000,323,117.0
30000,579,146.0
40000,856,176.0
50000,1151,202.0
60000,1492,250.0
70000,1808,238.0
80000,2163,283.0
90000,2430,166.0
100000,2764,238.0
