episodes,steps,total reward
221,10000,1.0
366,20000,3.0
501,30000,15.0
651,40000,24.0
797,50000,46.0
996,60000,83.0
1204,70000,99.0
1408,80000,114.0
1648,90000,134.0
1875,100000,116.0
