steps,total reward,episodes
10000,20.0,176
20000,37.0,312
30000,40.0,434
40000,51.0,533
50000,62.0,664
60000,75.0,809
70000,78.0,942
80000,108.0,1114
90000,140.0,1340
100000,173.0,1592
