episodes,total reward,steps
145,1.0,10000
269,2.0,20000
396,6.0,30000
531,9.0,40000
661,16.0,50000
812,3.0,60000
965,13.0,70000
1097,4.0,80000
1246,24.0,90000
1412,27.0,100000
