steps,episodes,total reward
10000,156,7.0
20000,354,46.0
30000,598,78.0
40000,846,71.0
50000,1114,114.0
60000,1416,123.0
70000,1695,98.0
80000,1969,99.0
90000,2221,109.0
100000,2511,144.0
