steps,total reward,episodes
10000,2.0,235
20000,3.0,405
30000,3.0,584
40000,8.0,777
50000,5.0,962
60000,4.0,1130
70000,3.0,1319
80000,10.0,1504
90000,9.0,1673
100000,15.0,1824
