total reward,steps,episodes
26.0,10000,205
43.0,20000,477
82.0,30000,880
39.0,40000,1158
44.0,50000,1442
63.0,60000,1739
53.0,70000,2062
48.0,80000,2375
40.0,90000,2684
60.0,100000,2965
