total reward,episodes,steps
42.0,154,10000
94.0,372,20000
114.0,642,30000
124.0,905,40000
139.0,1197,50000
142.0,1464,60000
123.0,1730,70000
130.0,2008,80000
123.0,2281,90000
145.0,2568,100000
