1.0	0.0000	0.0000	0.0084
2.0	0.0000	0.0068	0.0268
3.0	0.0000	0.0083	0.0375
4.0	0.0052	0.0174	0.0468
5.0	0.0065	0.0206	0.0473
6.0	0.0116	0.0269	0.0486
7.0	0.0167	0.0313	0.0551
8.0	0.0265	0.0399	0.0622
9.0	0.0338	0.0595	0.0833
10.0	0.0421	0.0702	0.0925
11.0	0.0514	0.0870	0.1107
12.0	0.0631	0.1046	0.1213
13.0	0.0805	0.1120	0.1534
14.0	0.1057	0.1456	0.1799
15.0	0.1245	0.1723	0.2124
16.0	0.1434	0.2083	0.2477
17.0	0.1877	0.2327	0.2926
18.0	0.2167	0.2662	0.3125
19.0	0.2362	0.2938	0.3380
20.0	0.2600	0.3157	0.3520
21.0	0.2690	0.3305	0.3822
22.0	0.2867	0.3571	0.4060
23.0	0.3145	0.3926	0.4451
24.0	0.3442	0.4232	0.4794
25.0	0.3733	0.4462	0.5253
26.0	0.4145	0.4823	0.5706
27.0	0.4648	0.5212	0.6097
28.0	0.5043	0.5483	0.6222
29.0	0.5396	0.5855	0.6516
30.0	0.5521	0.6079	0.6690
31.0	0.5638	0.6357	0.6850
32.0	0.6082	0.6423	0.6885
33.0	0.6173	0.6595	0.6963
34.0	0.6103	0.6606	0.7124
35.0	0.6207	0.6600	0.7245
36.0	0.6247	0.6565	0.7297
37.0	0.6276	0.6824	0.7414
38.0	0.6417	0.6791	0.7541
39.0	0.6364	0.6807	0.7532
40.0	0.6308	0.6854	0.7475
41.0	0.6318	0.6867	0.7517
42.0	0.6431	0.6820	0.7541
43.0	0.6401	0.6786	0.7470
44.0	0.6409	0.6835	0.7432
45.0	0.6324	0.6917	0.7572
46.0	0.6389	0.6942	0.7544
47.0	0.6386	0.7077	0.7553
48.0	0.6408	0.6961	0.7493
49.0	0.6266	0.6960	0.7647
50.0	0.6491	0.6874	0.7461
51.0	0.6424	0.6837	0.7365
52.0	0.6367	0.6936	0.7480
53.0	0.6268	0.6934	0.7545
54.0	0.6389	0.7084	0.7532
55.0	0.6674	0.7256	0.7618
56.0	0.6703	0.7186	0.7698
57.0	0.6639	0.7164	0.7715
58.0	0.6591	0.7191	0.7727
59.0	0.6611	0.7101	0.7711
60.0	0.6742	0.7040	0.7696
61.0	0.6684	0.7143	0.7723
62.0	0.6787	0.7172	0.7753
63.0	0.6750	0.7207	0.7704
64.0	0.6764	0.7263	0.7766
65.0	0.6814	0.7238	0.7743
66.0	0.6828	0.7257	0.7700
67.0	0.6748	0.7255	0.7595
68.0	0.6762	0.7094	0.7622
69.0	0.6690	0.7135	0.7632
70.0	0.6657	0.7141	0.7715
71.0	0.6629	0.7224	0.7640
72.0	0.6527	0.7147	0.7603
73.0	0.6733	0.7143	0.7588
74.0	0.6762	0.7099	0.7557
75.0	0.6715	0.7138	0.7609
76.0	0.6808	0.7398	0.7692
77.0	0.6879	0.7373	0.7837
78.0	0.7008	0.7507	0.7859
79.0	0.7002	0.7627	0.7885
80.0	0.6925	0.7702	0.8031
81.0	0.6907	0.7722	0.8060
82.0	0.6961	0.7631	0.7998
83.0	0.7023	0.7581	0.7953
84.0	0.6967	0.7536	0.8140
85.0	0.6947	0.7616	0.8246
86.0	0.7034	0.7513	0.8124
87.0	0.7014	0.7487	0.8055
88.0	0.7014	0.7586	0.8053
89.0	0.7001	0.7616	0.8026
90.0	0.7062	0.7589	0.8009
91.0	0.7118	0.7621	0.8040
92.0	0.7227	0.7615	0.8064
93.0	0.7161	0.7544	0.8021
94.0	0.7044	0.7567	0.8070
95.0	0.7033	0.7459	0.8200
96.0	0.7153	0.7529	0.8163
97.0	0.7071	0.7581	0.8314
98.0	0.7030	0.7524	0.8301
99.0	0.6950	0.7613	0.8277
