total reward,steps,episodes
25.0,10000,108
96.0,20000,274
257.0,30000,610
186.0,40000,931
301.0,50000,1340
270.0,60000,1709
279.0,70000,2090
257.0,80000,2450
316.0,90000,2857
278.0,100000,3237
