steps,total reward,episodes
10000,13.0,208
20000,24.0,456
30000,27.0,721
40000,43.0,1153
50000,40.0,1540
60000,70.0,2090
70000,87.0,2636
80000,61.0,3114
90000,63.0,3641
100000,51.0,4036
