episodes,total reward,steps
0,0.0,10000
2,2.0,20000
3,1.0,30000
4,1.0,40000
6,2.0,50000
8,2.0,60000
9,1.0,70000
11,2.0,80000
12,1.0,90000
14,2.0,100000
16,2.0,110000
17,1.0,120000
19,2.0,130000
21,2.0,140000
22,1.0,150000
25,3.0,160000
27,2.0,170000
28,1.0,180000
30,2.0,190000
32,2.0,200000
33,1.0,210000
35,2.0,220000
36,1.0,230000
39,3.0,240000
43,4.0,250000
44,1.0,260000
46,2.0,270000
49,3.0,280000
50,1.0,290000
52,2.0,300000
55,3.0,310000
57,2.0,320000
60,3.0,330000
62,2.0,340000
65,3.0,350000
67,2.0,360000
70,3.0,370000
72,2.0,380000
74,2.0,390000
78,4.0,400000
80,2.0,410000
83,3.0,420000
86,3.0,430000
88,2.0,440000
90,2.0,450000
94,4.0,460000
97,3.0,470000
99,2.0,480000
100,1.0,490000
101,1.0,500000
102,1.0,510000
106,4.0,520000
108,2.0,530000
111,3.0,540000
115,4.0,550000
116,1.0,560000
119,3.0,570000
121,2.0,580000
125,4.0,590000
128,3.0,600000
130,2.0,610000
134,4.0,620000
136,2.0,630000
139,3.0,640000
142,3.0,650000
146,4.0,660000
149,3.0,670000
152,3.0,680000
154,2.0,690000
156,2.0,700000
158,2.0,710000
160,2.0,720000
162,2.0,730000
165,3.0,740000
167,2.0,750000
170,3.0,760000
173,3.0,770000
174,1.0,780000
177,3.0,790000
180,3.0,800000
182,2.0,810000
185,3.0,820000
186,1.0,830000
189,3.0,840000
192,3.0,850000
195,3.0,860000
197,2.0,870000
201,4.0,880000
203,2.0,890000
205,2.0,900000
207,2.0,910000
209,2.0,920000
211,2.0,930000
215,4.0,940000
217,2.0,950000
218,1.0,960000
222,4.0,970000
225,3.0,980000
229,4.0,990000
231,2.0,1000000
235,4.0,1010000
237,2.0,1020000
238,1.0,1030000
241,3.0,1040000
243,2.0,1050000
245,2.0,1060000
247,2.0,1070000
250,3.0,1080000
252,2.0,1090000
255,3.0,1100000
258,3.0,1110000
260,2.0,1120000
263,3.0,1130000
263,0.0,1140000
265,2.0,1150000
269,4.0,1160000
271,2.0,1170000
275,4.0,1180000
278,3.0,1190000
282,4.0,1200000
285,3.0,1210000
288,3.0,1220000
292,4.0,1230000
294,2.0,1240000
296,2.0,1250000
299,3.0,1260000
303,4.0,1270000
310,7.0,1280000
313,3.0,1290000
313,0.0,1300000
318,5.0,1310000
322,4.0,1320000
324,2.0,1330000
326,2.0,1340000
328,2.0,1350000
332,4.0,1360000
336,4.0,1370000
339,3.0,1380000
342,3.0,1390000
345,3.0,1400000
349,4.0,1410000
351,2.0,1420000
354,3.0,1430000
357,3.0,1440000
362,5.0,1450000
363,1.0,1460000
366,3.0,1470000
368,2.0,1480000
372,4.0,1490000
375,3.0,1500000
379,4.0,1510000
380,1.0,1520000
384,4.0,1530000
388,4.0,1540000
390,2.0,1550000
393,3.0,1560000
397,4.0,1570000
401,4.0,1580000
406,5.0,1590000
409,3.0,1600000
414,5.0,1610000
418,4.0,1620000
421,3.0,1630000
425,4.0,1640000
429,4.0,1650000
430,1.0,1660000
435,5.0,1670000
439,4.0,1680000
442,3.0,1690000
447,5.0,1700000
452,5.0,1710000
456,4.0,1720000
461,5.0,1730000
464,3.0,1740000
467,3.0,1750000
471,4.0,1760000
476,5.0,1770000
481,5.0,1780000
483,2.0,1790000
488,5.0,1800000
493,5.0,1810000
496,3.0,1820000
501,5.0,1830000
506,5.0,1840000
511,5.0,1850000
515,4.0,1860000
521,6.0,1870000
524,3.0,1880000
529,5.0,1890000
535,6.0,1900000
540,5.0,1910000
546,6.0,1920000
550,4.0,1930000
555,5.0,1940000
560,5.0,1950000
567,7.0,1960000
572,5.0,1970000
579,7.0,1980000
582,3.0,1990000
588,6.0,2000000
